source,target,relation
0,1,1
0,9705,0
0,9706,0
0,9707,0
0,9708,0
0,9709,0
2,9710,0
2,9711,0
2,9712,0
2,9713,0
2,9714,0
2,9715,0
2,9716,0
2,9717,0
2,3,1
4,5,1
4,6,1
4,9718,0
4,9719,0
4,9713,0
7,8,1
7,9720,0
7,9721,0
7,9722,0
7,9723,0
7,9724,0
7,9725,0
7,5350,0
7,9726,0
9,10,1
9,9708,0
9,9707,0
9,9727,0
11,12,1
11,9728,0
11,9707,0
11,9729,0
11,9730,0
11,9731,0
11,9732,0
11,9733,0
13,14,1
13,9734,0
13,9705,0
13,2510,0
13,616,0
13,9714,0
13,9735,0
15,9736,0
15,9737,0
15,9738,0
15,9739,0
15,9740,0
15,9706,0
15,16,1
17,18,1
17,9741,0
17,9742,0
17,9718,0
17,9743,0
17,9744,0
17,9745,0
17,1080,0
17,9746,0
17,9747,0
19,20,1
19,9748,0
19,143,0
19,20,0
19,9718,0
19,9749,0
19,695,0
19,9719,0
19,9750,0
21,22,1
21,9751,0
21,267,0
21,9752,0
21,9705,0
23,24,1
23,8984,0
23,91,0
23,9751,0
23,9707,0
23,9753,0
23,782,0
25,26,1
25,9752,0
25,1822,0
25,9754,0
25,9705,0
25,91,0
25,9717,0
27,12,1
27,9708,0
27,9755,0
27,9756,0
27,9705,0
27,9751,0
27,9707,0
27,9706,0
28,29,1
28,9706,0
28,616,0
28,9757,0
30,31,1
30,2283,0
30,9717,0
30,9706,0
30,9758,0
32,33,1
32,9759,0
32,9760,0
34,35,1
34,36,1
34,37,1
34,38,1
34,39,1
34,9735,0
34,9714,0
34,9751,0
34,9753,0
40,41,1
40,9761,0
40,9762,0
40,9751,0
40,9706,0
31,9763,0
31,9736,0
31,9764,0
31,9765,0
31,9766,0
31,9760,0
31,9714,0
31,9767,0
31,9768,0
31,42,1
31,43,1
31,44,1
31,45,1
31,46,1
31,12,1
40,9751,0
40,9731,0
40,9706,0
40,9769,0
40,47,1
48,9770,0
48,9771,0
48,9766,0
48,9763,0
48,9762,0
48,9772,0
48,9706,0
48,9773,0
48,9774,0
48,9775,0
48,49,1
48,50,1
51,9776,0
51,51,0
51,9706,0
51,9707,0
51,9777,0
51,89,0
51,91,0
51,3062,0
51,9778,0
51,9779,0
51,52,1
51,53,1
51,54,1
51,55,1
38,9740,0
38,160,0
38,9780,0
38,9781,0
38,9782,0
38,9777,0
38,9707,0
38,9783,0
38,9761,0
38,9784,0
38,37,1
38,56,1
38,57,1
38,58,1
38,59,1
38,60,1
38,61,1
38,62,1
38,63,1
38,64,1
38,41,1
38,2,1
38,65,1
38,66,1
38,67,1
38,68,1
38,69,1
38,70,1
38,71,1
38,72,1
73,42,1
73,9707,0
73,9714,0
73,9735,0
73,9753,0
74,9707,0
74,9785,0
74,9786,0
74,9787,0
74,9788,0
74,9737,0
74,9789,0
74,9790,0
74,9791,0
74,75,1
74,76,1
74,77,1
74,78,1
74,79,1
74,80,1
74,81,1
74,82,1
74,83,1
74,84,1
74,85,1
86,75,1
86,87,1
86,41,1
86,9707,0
86,9769,0
86,9784,0
86,9705,0
88,9707,0
88,9792,0
88,9793,0
88,89,1
90,91,1
90,91,0
90,9717,0
90,9706,0
92,93,1
92,9792,0
92,9717,0
92,9751,0
92,9759,0
92,9794,0
92,9707,0
94,9766,0
94,9795,0
94,9762,0
94,9796,0
94,9797,0
94,9798,0
94,9751,0
94,9799,0
94,89,1
94,38,1
94,95,1
94,16,1
94,96,1
94,3,1
94,12,1
97,98,1
97,494,0
97,9787,0
97,9782,0
97,9718,0
97,9707,0
97,9732,0
97,267,0
97,9800,0
97,9705,0
97,9798,0
99,9801,0
99,9802,0
99,9803,0
99,9804,0
99,9746,0
99,9805,0
99,144,0
99,9738,0
99,9782,0
99,100,1
101,9806,0
101,9782,0
101,9807,0
101,9808,0
101,392,0
101,9809,0
101,9810,0
101,9811,0
101,9812,0
101,9813,0
101,102,1
101,75,1
101,103,1
104,392,0
104,9814,0
104,9815,0
104,415,0
104,147,0
104,9816,0
104,9817,0
104,98,1
105,24,1
105,8984,0
105,9753,0
105,782,0
105,91,0
105,9818,0
105,9751,0
105,9819,0
105,9707,0
105,9820,0
105,219,0
106,107,1
106,9707,0
106,9821,0
106,9724,0
106,9705,0
106,9776,0
106,9721,0
106,9723,0
106,9822,0
106,9753,0
108,476,0
108,9718,0
108,9823,0
108,9824,0
108,9825,0
108,9826,0
108,267,0
108,9827,0
108,9828,0
108,109,1
110,48,1
110,765,0
110,9731,0
110,9829,0
110,9830,0
110,9831,0
110,9832,0
110,9833,0
111,49,1
111,91,0
111,9834,0
111,9706,0
111,2283,0
111,9835,0
111,12,0
111,9836,0
12,9731,0
12,9837,0
12,9786,0
12,9838,0
12,9707,0
12,9839,0
12,147,0
12,9830,0
12,12,0
12,112,1
12,113,1
12,93,1
12,114,1
115,116,1
115,9746,0
115,9751,0
115,9707,0
115,9840,0
117,118,1
117,119,1
117,120,1
117,121,1
117,122,1
117,9841,0
117,9842,0
117,9843,0
123,124,1
123,125,1
123,74,1
123,9839,0
123,9844,0
123,9713,0
123,1204,0
123,9845,0
123,9846,0
123,9847,0
123,12,0
123,9707,0
123,9837,0
126,48,1
126,9848,0
126,9705,0
126,9849,0
126,9781,0
126,9731,0
126,9759,0
126,9769,0
126,9850,0
127,9851,0
127,9718,0
127,9842,0
127,9852,0
127,9821,0
127,112,0
127,9705,0
127,12,0
127,9776,0
127,12,1
127,112,1
127,128,1
127,38,1
127,103,1
127,129,1
102,9853,0
102,9854,0
102,9727,0
102,9707,0
102,1204,0
102,9855,0
102,20,0
102,9856,0
102,9857,0
102,12,0
102,49,1
102,130,1
102,131,1
102,132,1
102,133,1
127,109,1
127,134,1
127,12,1
127,1118,0
127,9731,0
127,9851,0
127,9842,0
127,267,0
127,9776,0
127,9820,0
127,9852,0
127,9858,0
135,136,1
135,9714,0
135,169,0
135,9773,0
135,9707,0
135,9859,0
135,9860,0
135,91,0
36,602,0
36,9707,0
36,16,0
36,9773,0
36,169,0
36,8600,0
36,112,0
36,9,1
36,137,1
36,16,1
36,138,1
139,112,1
139,20,0
139,143,0
139,9861,0
139,9807,0
139,9862,0
139,9712,0
139,9718,0
139,476,0
139,1119,0
139,9825,0
140,102,1
140,42,1
140,9708,0
140,49,0
140,267,0
140,9717,0
140,9863,0
140,9807,0
140,9707,0
91,9864,0
91,9799,0
91,9865,0
91,91,0
91,9770,0
91,9736,0
91,9866,0
91,9867,0
91,9734,0
91,9868,0
91,9869,0
91,112,1
91,114,1
91,141,1
142,9714,0
142,9805,0
142,20,0
142,9801,0
142,9870,0
